,Location,Neighborhood,Address,URL,Yelp,Google,Chips,Latitude,Longitude,Fillings,Meat,Temp,overall,N,Tortilla,Synergy,Uniformity,Hunger,Meat:filling,Volume,Cost,Wrap,Salsa
0,donato's taco shop,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,False,32.8789964,-117.1688463,3.5,3.0,5.0,3.8,1,3.0,4.0,4.0,3.0,4.0,,6.49,4.0,4.0
1,oscar's mexican food,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,False,33.145203,-117.20029,2.5,2.5,3.5,3.0,1,2.0,2.5,4.0,3.5,2.0,,5.45,5.0,3.5
2,pollos maria,Carlsbad,3055 Harding St,http://pollosmaria.com/,4.0,3.8,True,33.1611876,-117.3443194,3.5,4.0,5.0,4.2,1,4.0,4.5,5.0,4.0,4.5,,6.59,4.0,2.5
3,nico's taco shop,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,False,32.9391356,-117.2321631,2.0,3.0,3.0,2.6,1,2.0,2.0,2.5,1.5,2.5,,7.19,3.0,
4,los primos mexican food,UTC,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,True,32.8627496,-117.224335,3.2,3.5,3.7,2.84,5,2.9,2.5,2.25,3.3,1.8,0.896666666667,7.85,3.6,2.8
5,tony's fresh mexican food,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,True,32.8798825,-117.1605069,3.0,2.75,3.5,3.325,2,3.5,3.5,3.75,3.25,3.0,,6.25,4.0,1.0
6,taco stand,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,False,32.8393518,-117.2768191,4.04545454545,4.27272727273,3.45454545455,4.23636363636,11,3.68181818182,4.36363636364,3.72727272727,3.0,3.72727272727,0.767142857143,7.53636363636,4.0,3.63636363636
7,rigoberto's taco shop la jolla,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,False,32.8372413,-117.2780722,3.0,2.875,3.5,3.25,2,3.25,,3.0,3.25,4.0,,6.4,4.75,1.75
8,lolita's taco shop,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4.0,4.4,False,32.831835,-117.1605573,3.125,3.25,3.5,3.15,4,3.325,2.875,3.75,3.05,2.75,0.85,7.0,4.375,3.0
9,rigoberto's taco shop,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4.0,4.4,False,32.8799798,-117.1621159,3.75,3.75,4.75,4.05,2,3.0,4.5,3.5,3.0,4.25,,6.6,4.25,3.75
10,el zarape,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4.0,4.4,True,32.7618006,-117.1464649,2.625,3.25,5.0,2.916665,2,3.25,3.2,2.15,1.75,4.0,,6.25,5.0,3.5
11,el indio,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,False,32.7423239,-117.1801448,4.0,3.5,4.0,4.0,1,4.0,3.5,4.0,4.0,4.5,,7.84,4.5,3.5
12,cancun mexican & seafood,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,True,33.0003393,-117.2755039,3.5,4.0,4.5,4.2,1,4.0,4.0,2.5,4.0,4.0,,6.99,4.0,2.0
13,vallarta express,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4.0,False,32.8213696,-117.1825596,3.5,2.75,3.5,3.45,2,3.25,3.25,3.0,3.75,3.75,0.88,6.8,3.0,3.0
14,mikes taco club,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,False,32.7476247,-117.252021,4.75,3.75,4.5,4.4,2,4.25,4.5,3.0,3.0,3.25,,8.59,4.5,4.0
