,Location,Neighborhood,Address,URL,Yelp,Google,Chips,Latitude,Longitude,Fillings,Meat,Temp,overall,N,Tortilla,Synergy,Uniformity,Hunger,Meat:filling,Volume,Cost,Wrap,Salsa
0,Donato's taco shop,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,False,32.8789964,-117.1688463,3.5,3.0,5.0,3.8,1,3.0,4.0,4.0,3.0,4.0,,6.49,4.0,4.0
1,Oscar's Mexican food,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,False,33.145203,-117.20029,2.83333333333,2.83333333333,2.5,3.25,3,2.66666666667,3.16666666667,4.33333333333,2.33333333333,3.5,,5.18333333333,5.0,3.5
2,Pollos Maria,Carlsbad,3055 Harding St,http://pollosmaria.com/,4.0,3.8,True,33.1611876,-117.3443194,3.625,4.0,3.875,3.675,4,3.5,4.25,3.5,3.625,3.375,0.615,6.765,2.5,2.625
3,Nico's Taco Shop,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,False,32.9391356,-117.2321631,2.25,3.0,3.0,2.8,2,2.25,2.25,3.0,2.75,2.75,,7.09,3.0,
4,Los Primos Mexican Food,UTC,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,True,32.8627497,-117.2243351,3.09090909091,2.86363636364,3.5,2.64545454545,11,3.36363636364,2.54545454545,2.75,3.31818181818,1.90909090909,0.761428571429,7.07727272727,3.45454545455,3.0
5,JV's Mexican Food,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4.0,4.1,False,32.76868,-117.200391,2.75,2.125,2.0,2.25,2,2.5,2.5,2.5,2.75,3.5,,7.875,4.0,1.0
6,Tony's Fresh Mexican Food,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,True,32.8798825,-117.1605069,2.875,2.75,2.83333333333,2.9125,4,3.25,3.375,3.875,2.875,3.5,,6.61,3.5,1.66666666667
7,Taco Stand,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,False,32.8393518,-117.2768191,3.9,4.25,3.75,4.2,10,3.8,4.25,3.8,3.26,3.92,0.686666666667,7.44,4.05,3.47
8,Graciela's Taco Shop,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4.0,4.5,False,32.6690663,-117.0216125,3.5,3.25,4.0,4.0,2,3.75,4.0,4.5,2.5,4.0,,5.99,3.0,4.0
9,Rigoberto's Taco Shop La Jolla,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,False,32.8372413,-117.2780722,3.0,2.875,3.5,3.25,2,3.25,,3.0,3.25,4.0,,6.4,4.75,1.75
10,Lolita's taco shop,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4.0,4.4,False,32.831835,-117.1605573,3.84,3.2,3.46,3.66,5,2.7,3.7,1.58,3.3,3.48,0.746666666667,7.75,4.2,2.8
11,Lola's 7 Up Market & Deli,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,False,33.1571139,-117.3449128,4.0,3.0,2.75,3.4,2,2.5,3.5,3.0,3.5,3.0,,6.5,2.5,3.0
12,Colima's Mexican Food,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4.0,4.2,False,32.7486284,-117.1398601,3.83333333333,3.83333333333,4.83333333333,3.66666666667,3,3.16666666667,3.66666666667,3.83333333333,4.16666666667,4.0,,6.42333333333,4.0,3.0
13,Rigoberto's Taco Shop,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4.0,4.4,False,32.8799798,-117.1621159,3.66666666667,3.73333333333,3.94,3.74,15,3.63333333333,3.8,3.66666666667,3.63333333333,3.86666666667,0.93375,6.81666666667,3.8,3.47727272727
14,Raul's Mexican food,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4.0,4.2,False,33.0460988,-117.29391,1.5,1.75,,1.5,2,2.0,1.75,1.5,2.25,1.25,,5.0,4.0,1.75
15,El Zarape,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4.0,4.4,True,32.7618006,-117.1464649,3.28125,3.60714285714,4.28571428571,3.36666625,8,3.25,3.3,3.6,3.15625,3.84375,0.596666666667,6.65625,4.6875,3.125
16,El Indio,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,False,32.7422812,-117.180145,4.0,3.5,4.0,4.0,1,4.0,3.5,4.0,4.0,4.5,,7.84,4.5,3.5
17,Cancun Mexican & Seafood,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,True,33.000349,-117.2754892,3.9,3.83333333333,4.5,4.1,6,4.05,3.8,3.41666666667,3.71666666667,3.91666666667,0.735,6.73333333333,3.91666666667,3.3
