Location,Burrito,Date,Neighborhood,Hunger,Cost,chips?,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,beef/ carne asada,Pico,Guac,Cheese,Fries,sour cream,pork,chicken,Shrimp,fish,rice,beans,lettuce,tomato,bell pepper,carrots,cabbage,sauce,salsa,cilantro,onion,taquito,pineapple,ham,chile relleno,nopales/nopalitos,lobster,queso,egg,mushroom,bacon
Donato's taco shop,California ,1/18/2016,Miramar,3,6.49,No,3,5,3,3.5,4,4,4,4,4,3.8,Scott,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,California ,1/24/2016,San Marcos,3.5,5.45,No,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,Scott,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carnitas,1/24/2016,San Marcos,1.5,4.85,No,3,2,2.5,3,4.5,4,3,3,5,3,Emily,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carne asada,1/24/2016,San Marcos,2,5.25,No,3,2,3.5,3,4,5,4,4,5,3.75,Ricardo,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,California,1/27/2016,Carlsbad,4,6.59,Yes,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,Scott,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,Combo chicken,1/28/2016,Carlsbad,4,6.99,Yes,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,Emily,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,
Nico's Taco Shop,California,1/30/2016,Carmel Valley,1.5,7.19,No,2,3,3,2,2.5,2.5,,2,3,2.6,Scott,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,Carnitas,1/30/2016,Carmel Valley,4,6.99,No,2.5,3,3,2.5,3,3.5,,2.5,3,3,Emily,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,2/1/2016,UTC,3.5,9.25,Yes,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,Scott,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
JV's,Carne Asada,2/6/2016,Morena,3.5,6.25,No,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,Scott,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV's,Surf & Turf,2/6/2016,Morena,2,9.5,No,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,Emily,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,Miramar,2,6.95,Yes,3,4,4,3,4,4,1,2,1,3,Marc,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,California,2/11/2016,Miramar,3.5,6.25,Yes,3,3.5,3.5,4,2,3.5,1,4,4,3.9,Scott,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,Fish,2/11/2016,Miramar,3,6.99,No,3,1,1.5,2.5,4,4,3,4.5,5,2,Nicole,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,
Tony's Fresh Mexican Food,California,2/11/2016,Miramar,3,6.25,No,4,,2,2,4,4,,3,4,2.75,Cris,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California,2/12/2016,La Jolla,4,7.49,No,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,Emily,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,Surf & Turf,2/12/2016,La Jolla ,2.5,8.49,No,4,4,4.5,4,5,4.5,3.5,4,2,4.1,Scott,x,x,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,
Graciela's Taco Shop,Adobada ,2/14/2016,Bonita,3,5.99,No,4,4,3,3.5,4,4.5,4,4,4.5,4,Scott,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,
Graciela's Taco Shop,Barbacoa,2/14/2016,Bonita,2,5.99,No,3.5,4,3.5,,4,,4,4,1.5,4,Emily,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,
Rigoberto's Taco Shop,California,2/17/2016,La Jolla,4,6.4,No,3,4,2.75,3,4,2,2,,5,3,Leo,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California,2/17/2016,La Jolla,2.5,6.4,No,3.5,3,3,3,4,4,1.5,,4.5,3.5,Scott,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,2/24/2016,Kearny Mesa,3.5,8.75,No,1.5,2,3,3.5,4,1,3.5,4.5,4,4,Scott ,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Lolita's taco shop,Adobada,2/24/2016,Kearny Mesa,2.5,5.5,No,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,Emily,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
