,Medals,Gold medals,Weighted medals,Normalized medals,Normalized gold medals,Normalized weighted medals
Algeria,2.0,0.0,4.0,0.0141843971631,0.0,0.0141843971631
Argentina,4.0,3.0,11.0,0.284523809524,0.671428571429,0.397278911565
Armenia,4.0,1.0,9.0,0.0722222222222,0.0555555555556,0.084126984127
Australia,29.0,8.0,56.0,0.929064622758,1.32380952381,1.0116728567
Austria,1.0,0.0,1.0,0.0333333333333,0.0,0.0166666666667
Azerbaijan,18.0,1.0,27.0,0.333742150706,0.125,0.289235004073
Bahamas,2.0,1.0,4.0,0.0141843971631,0.0212765957447,0.0141843971631
Bahrain,2.0,1.0,5.0,0.0141843971631,0.0212765957447,0.0177304964539
Belarus,9.0,1.0,15.0,0.141745376092,0.0555555555556,0.126154419896
Belgium,6.0,2.0,12.0,0.238268429758,0.0768321513002,0.234115461199
Brazil,19.0,7.0,39.0,0.709762048573,1.2696282441,0.870665814459
Bulgaria,3.0,0.0,4.0,0.039499605989,0.0,0.0242879657773
Burundi,1.0,0.0,2.0,0.00709219858156,0.0,0.00709219858156
Canada,22.0,4.0,33.0,0.665721689658,0.160959135427,0.4050035496
China,70.0,26.0,140.0,2.57300190944,3.30168017562,2.79591202981
Chinese Taipei,3.0,1.0,5.0,0.127777777778,0.0666666666667,0.0861111111111
Colombia,8.0,3.0,16.0,0.144892361382,0.143498817967,0.145494975586
Croatia,10.0,5.0,23.0,0.34368196815,0.280648429585,0.378668848882
Cuba,11.0,5.0,23.0,0.18200062349,0.34188034188,0.219314457916
Czech Republic,10.0,1.0,14.0,0.328501873563,0.0714285714286,0.205818738014
Denmark,15.0,2.0,25.0,0.530461289808,0.528571428571,0.518807183221
Dominican Republic,1.0,0.0,1.0,0.03125,0.0,0.0178571428571
Egypt,3.0,0.0,3.0,0.0756944444444,0.0,0.0400793650794
Estonia,1.0,0.0,1.0,0.0238095238095,0.0,0.0119047619048
Ethiopia,8.0,1.0,12.0,0.0567375886525,0.0212765957447,0.0425531914894
Fiji,1.0,1.0,3.0,0.166666666667,0.5,0.25
Finland,1.0,0.0,1.0,0.0192307692308,0.0,0.010989010989
France,42.0,10.0,80.0,1.42912617538,0.963965201465,1.47662185334
Georgia,7.0,2.0,12.0,0.121825396825,0.122222222222,0.114739229025
Germany,42.0,17.0,86.0,2.09116874064,1.82985477879,1.95824441909
Great Britain,67.0,27.0,144.0,2.39861371672,3.41511118905,2.72829724881
Greece,6.0,3.0,13.0,0.113003879493,0.143498817967,0.109096564752
Grenada,1.0,0.0,2.0,0.00709219858156,0.0,0.00709219858156
Hungary,15.0,8.0,34.0,0.268957714019,0.473214285714,0.318099939374
Independent Olympic Athletes,2.0,1.0,4.0,0.0444444444444,0.0666666666667,0.0444444444444
India,2.0,0.0,3.0,0.0805555555556,0.0,0.0746031746032
Indonesia,3.0,1.0,7.0,0.111111111111,0.2,0.144444444444
Iran,8.0,3.0,15.0,0.145138888889,0.188888888889,0.148015873016
Ireland,2.0,0.0,4.0,0.0571428571429,0.0,0.0571428571429
Israel,2.0,0.0,2.0,0.0357142857143,0.0,0.0204081632653
Italy,28.0,8.0,56.0,1.04494301994,0.522222222222,0.98246296658
Ivory Coast,2.0,1.0,4.0,0.0625,0.125,0.0714285714286
Jamaica,11.0,6.0,26.0,0.0780141843972,0.127659574468,0.0921985815603
Japan,41.0,12.0,73.0,1.27451930036,0.804761904762,0.995809152964
Jordan,1.0,1.0,3.0,0.03125,0.125,0.0535714285714
Kazakhstan,17.0,3.0,28.0,0.301353492843,0.172161172161,0.26804843071
Kenya,13.0,6.0,31.0,0.0921985815603,0.127659574468,0.109929078014
Kosovo,1.0,1.0,3.0,0.0178571428571,0.0714285714286,0.030612244898
Lithuania,4.0,0.0,5.0,0.0902494331066,0.0,0.0571346751759
