,country,sport,medal,N
0,Algeria,archery,gold,0.0
0,Algeria,archery,silver,0.0
0,Algeria,archery,bronze,0.0
0,Argentina,archery,gold,0.0
0,Argentina,archery,silver,0.0
0,Argentina,archery,bronze,0.0
0,Armenia,archery,gold,0.0
0,Armenia,archery,silver,0.0
0,Armenia,archery,bronze,0.0
0,Australia,archery,gold,0.0
0,Australia,archery,silver,0.0
0,Australia,archery,bronze,1.0
0,Austria,archery,gold,0.0
0,Austria,archery,silver,0.0
0,Austria,archery,bronze,0.0
0,Azerbaijan,archery,gold,0.0
0,Azerbaijan,archery,silver,0.0
0,Azerbaijan,archery,bronze,0.0
0,Bahamas,archery,gold,0.0
0,Bahamas,archery,silver,0.0
0,Bahamas,archery,bronze,0.0
0,Bahrain,archery,gold,0.0
0,Bahrain,archery,silver,0.0
0,Bahrain,archery,bronze,0.0
0,Belarus,archery,gold,0.0
0,Belarus,archery,silver,0.0
0,Belarus,archery,bronze,0.0
0,Belgium,archery,gold,0.0
0,Belgium,archery,silver,0.0
0,Belgium,archery,bronze,0.0
0,Brazil,archery,gold,0.0
0,Brazil,archery,silver,0.0
0,Brazil,archery,bronze,0.0
0,Bulgaria,archery,gold,0.0
0,Bulgaria,archery,silver,0.0
0,Bulgaria,archery,bronze,0.0
0,Burundi,archery,gold,0.0
0,Burundi,archery,silver,0.0
0,Burundi,archery,bronze,0.0
0,Canada,archery,gold,0.0
0,Canada,archery,silver,0.0
0,Canada,archery,bronze,0.0
0,China,archery,gold,0.0
0,China,archery,silver,0.0
0,China,archery,bronze,0.0
0,Chinese Taipei,archery,gold,0.0
0,Chinese Taipei,archery,silver,0.0
0,Chinese Taipei,archery,bronze,1.0
0,Colombia,archery,gold,0.0
0,Colombia,archery,silver,0.0
0,Colombia,archery,bronze,0.0
0,Croatia,archery,gold,0.0
0,Croatia,archery,silver,0.0
0,Croatia,archery,bronze,0.0
0,Cuba,archery,gold,0.0
0,Cuba,archery,silver,0.0
0,Cuba,archery,bronze,0.0
0,Czech Republic,archery,gold,0.0
0,Czech Republic,archery,silver,0.0
0,Czech Republic,archery,bronze,0.0
0,Denmark,archery,gold,0.0
0,Denmark,archery,silver,0.0
0,Denmark,archery,bronze,0.0
0,Dominican Republic,archery,gold,0.0
0,Dominican Republic,archery,silver,0.0
0,Dominican Republic,archery,bronze,0.0
0,Egypt,archery,gold,0.0
0,Egypt,archery,silver,0.0
0,Egypt,archery,bronze,0.0
0,Estonia,archery,gold,0.0
0,Estonia,archery,silver,0.0
0,Estonia,archery,bronze,0.0
0,Ethiopia,archery,gold,0.0
0,Ethiopia,archery,silver,0.0
0,Ethiopia,archery,bronze,0.0
0,Fiji,archery,gold,0.0
0,Fiji,archery,silver,0.0
0,Fiji,archery,bronze,0.0
0,Finland,archery,gold,0.0
0,Finland,archery,silver,0.0
0,Finland,archery,bronze,0.0
0,France,archery,gold,0.0
0,France,archery,silver,1.0
0,France,archery,bronze,0.0
0,Georgia,archery,gold,0.0
0,Georgia,archery,silver,0.0
0,Georgia,archery,bronze,0.0
0,Germany,archery,gold,0.0
0,Germany,archery,silver,1.0
0,Germany,archery,bronze,0.0
0,Great Britain,archery,gold,0.0
0,Great Britain,archery,silver,0.0
0,Great Britain,archery,bronze,0.0
0,Greece,archery,gold,0.0
0,Greece,archery,silver,0.0
0,Greece,archery,bronze,0.0
0,Grenada,archery,gold,0.0
0,Grenada,archery,silver,0.0
0,Grenada,archery,bronze,0.0
