,Number of people,State
0,4,TX
1,2,MA
2,3,CA
3,1,CA
4,4,MA
5,1,CO
6,3,CA
7,2,PA
8,2,WA
9,3,CA
10,1,NY
11,1,MD
12,1,WA
13,4,MD
14,3,MD
15,2,MO
16,0,MA
17,1,MD
18,1,CA
19,0,MI
20,0,MD
21,0,CA
22,0,CT
23,2,CA
24,1,NJ
25,1,CA
26,4,CA
27,4,AZ
28,1,MA
29,0,MO
30,0,NY
31,1,OH
32,0,WI
33,3,TX
34,3,OH
35,1,CA
36,2,CT
37,2,CA
38,2,OH
39,3,MI
40,3,OH
41,4,MA
42,4,NM
43,0,MD
44,4,FL
45,2,FL
46,2,CA
47,4,MA
48,2,NY
49,2,PA
50,3,CA
51,5,MD
52,0,CA
53,0,PA
54,2,OR
55,2,OR
56,2,GA
57,1,MA
58,1,TX
59,2,VA
60,2,TX
61,3,WI
62,2,DE
63,2,FL
64,2,MI
65,2,IN
66,0,MO
67,6,MD
68,1,CA
69,2,CA
70,1,CT
71,0,CA
72,0,CA
73,0,CA
74,2,MA
75,2,RI
76,3,CA
77,0,OR
78,1,CA
79,1,TX
80,4,MI
81,3,CA
82,3,CA
83,3,AZ
84,1,CA
85,0,CO
86,1,OH
87,2,CA
88,2,IL
89,2,SC
90,2,AZ
91,0,IN
92,2,AZ
93,4,OH
94,3,OH
95,2,MA
96,2,OH
97,1,WI
98,2,CA
99,2,AZ
100,3,CA
101,3,TX
102,1,CA
103,2,PA
104,3,CA
105,3,CA
106,2,NY
107,1,NH
108,2,CA
109,2,RI
110,2,MD
111,2,IA
112,1,CA
113,2,VA
114,2,CO
115,4,TX
116,0,PA
117,1,CA
118,2,NE
119,2,IL
120,3,IL
121,3,PA
122,0,NH
123,3,TX
124,2,CT
125,2,MD
126,1,NY
127,3,CA
128,1,MD
129,3,NY
130,2,IL
131,0,CA
132,0,TX
133,4,NY
134,2,UT
135,2,NY
136,2,CT
137,4,SC
138,4,AZ
139,3,TX
140,3,UT
141,3,CA
142,1,NY
143,2,AL
144,2,MA
145,2,CA
146,2,VA
147,0,VA
148,0,MD
149,2,VA
150,2,NY
151,2,NY
152,2,CA
153,1,CA
154,2,CA
155,1,MA
156,2,NC
157,1,AL
158,1,CO
159,3,MD
160,3,NC
161,6,VA
162,6,NY
163,2,CA
164,2,FL
165,2,NY
166,6,MD
167,6,NY
168,6,KS
169,1,KS
170,1,KS
171,2,ME
172,2,MD
173,2,CA
174,2,MA
175,2,CT
176,1,TX
177,2,NY
178,2,FL
179,1,IN
180,2,FL
181,2,MA
182,2,MT
183,2,OH
184,2,FL
185,0,IN
186,2,MN
187,2,DC
188,0,MT
189,0,MA
190,2,MA
191,4,CA
192,4,IL
193,5,AR
194,5,OH
195,2,PA
196,5,MA
197,5,GA
198,5,TX
199,1,CA
200,3,NY
201,3,CA
202,2,NJ
203,2,CA
204,1,NY
205,0,TN
206,1,WA
207,2,IL
208,5,CA
209,3,CA
210,0,CA
211,3,CA
212,2,AZ
213,0,MA
214,0,PA
215,3,WI
216,1,MA
217,1,PA
218,0,NY
219,0,CA
220,0,NJ
221,0,MD
222,4,FL
223,1,CA
224,2,CA
225,2,OH
226,4,MO
227,0,OH
228,6,CA
229,6,DC
230,2,CA
231,3,CA
232,2,NY
233,2,FL
234,2,MT
235,0,CA
236,2,IL
237,2,PA
238,0,IN
239,1,MS
240,3,PA
241,4,IL
242,4,IL
243,2,NC
244,2,MA
245,0,CA
246,0,NC
247,2,MD
248,2,NC
249,2,PA
250,0,OR
251,1,OR
252,2,OR
253,4,OR
254,4,MS
255,2,CA
256,2,OR
257,2,CA
258,2,NC
259,2,IL
260,2,TN
261,1,UT
262,1,CA
