,state,gender,age,population,population_fraction,cumulative_fraction
0,Alaska,M,18,4856,1.9598528106951007e-05,1.9598528106951007e-05
1,Alaska,M,19,5299,2.1386449843231755e-05,4.098497795018276e-05
2,Alaska,M,20,6415,2.5890559680002208e-05,6.687553763018497e-05
3,Alaska,M,21,7023,2.8344411634085035e-05,9.521994926427001e-05
4,Alaska,M,22,7186,2.9002269970459214e-05,0.00012422221923472922
5,Alaska,M,23,7898,3.187585975879305e-05,0.00015609807899352228
6,Alaska,M,24,8125,3.279201830086016e-05,0.00018889009729438245
7,Alaska,M,25,7660,3.091530586887247e-05,0.00021980540316325492
8,Alaska,M,26,7152,2.8865047986184845e-05,0.0002486704511494398
9,Alaska,M,27,7021,2.833633975265713e-05,0.0002770067909020969
10,Alaska,M,28,6702,2.7048874664906437e-05,0.00030405566556700333
11,Alaska,M,29,6630,2.675828693350189e-05,0.00033081395250050523
12,Alaska,M,30,6330,2.5547504719316286e-05,0.0003563614572198215
13,Alaska,M,31,6277,2.533359986147683e-05,0.00038169505708129833
14,Alaska,M,32,5945,2.399366754444476e-05,0.0004056887246257431
15,Alaska,M,33,6030,2.433672250513068e-05,0.0004300254471308738
16,Alaska,M,34,5526,2.2302608385298863e-05,0.00045232805551617266
17,Alaska,M,35,5601,2.2605303938845264e-05,0.0004749333594550179
18,Alaska,M,36,5013,2.0232170799041474e-05,0.0004951655302540594
19,Alaska,M,37,5001,2.018373951047405e-05,0.0005153492697645334
20,Alaska,M,38,4648,1.8759052438448987e-05,0.0005341083222029824
21,Alaska,M,39,4354,1.7572485868547093e-05,0.0005516808080715295
22,Alaska,M,40,4668,1.8839771252728027e-05,0.0005705205793242575
23,Alaska,M,41,4352,1.756441398711919e-05,0.0005880849933113767
24,Alaska,M,42,4357,1.758459369068895e-05,0.0006056695870020656
25,Alaska,M,43,4490,1.8121373805644568e-05,0.0006237909608077102
26,Alaska,M,44,4655,1.878730402344665e-05,0.0006425782648311569
27,Alaska,M,45,4912,1.982454078693232e-05,0.0006624028056180893
28,Alaska,M,46,4603,1.8577435106321146e-05,0.0006809802407244104
29,Alaska,M,47,4441,1.792361271066092e-05,0.0006989038534350714
30,Alaska,M,48,4511,1.820612856063756e-05,0.000717109981995709
31,Alaska,M,49,4554,1.8379674011337497e-05,0.0007354896560070465
32,Alaska,M,50,5029,2.0296745850464706e-05,0.0007557864018575112
33,Alaska,M,51,5143,2.075684309185524e-05,0.0007765432449493664
34,Alaska,M,52,5245,2.1168509044678346e-05,0.0007977117539940448
35,Alaska,M,53,5311,2.143488113179918e-05,0.000819146635125844
36,Alaska,M,54,5411,2.183847520319438e-05,0.0008409851103290384
37,Alaska,M,55,5618,2.267391493098245e-05,0.0008636590252600208
38,Alaska,M,56,5255,2.1208868451817866e-05,0.0008848678937118386
39,Alaska,M,57,5307,2.141873736894337e-05,0.000906286631080782
40,Alaska,M,58,5168,2.085774160970404e-05,0.0009271443726904861
41,Alaska,M,59,4799,1.9368479486255742e-05,0.0009465128521767419
42,Alaska,M,60,5078,2.0494506945448355e-05,0.0009670073591221902
43,Alaska,M,61,4783,1.930390443483251e-05,0.0009863112635570227
44,Alaska,M,62,4503,1.8173841034925944e-05,0.0010044851045919487
45,Alaska,M,63,4106,1.6571572571486993e-05,0.0010210566771634356
46,Alaska,M,64,3847,1.552626392657342e-05,0.001036582941090009
47,Alaska,M,65,3751,1.5138813618034026e-05,0.001051721754708043
48,Alaska,M,66,3594,1.4505170925943559e-05,0.0010662269256339865
49,Alaska,M,67,3206,1.2939225928930176e-05,0.0010791661515629166
50,Alaska,M,68,3177,1.2822183648225567e-05,0.0010919883352111422
51,Alaska,M,69,2278,9.1938729463827e-06,0.0011011822081575249
52,Alaska,M,70,2321,9.367418397082637e-06,0.0011105496265546074
53,Alaska,M,71,2040,8.23331905646212e-06,0.0011187829456110695
54,Alaska,M,72,2048,8.265606582173736e-06,0.0011270485521932432
55,Alaska,M,73,1681,6.784416340153345e-06,0.0011338329685333965
56,Alaska,M,74,1535,6.195168995916351e-06,0.0011400281375293128
57,Alaska,M,75,1282,5.17407599528649e-06,0.0011452022135245992
58,Alaska,M,76,1175,4.742230338893623e-06,0.0011499444438634928
59,Alaska,M,77,1073,4.330564386070517e-06,0.0011542750082495633
60,Alaska,M,78,951,3.838179618968371e-06,0.0011581131878685316
61,Alaska,M,79,845,3.4103699032894568e-06,0.0011615235577718212
62,Alaska,M,80,734,2.9623804840407827e-06,0.001164485938255862
63,Alaska,M,81,666,2.6879365154920454e-06,0.001167173874771354
64,Alaska,M,82,564,2.276270562668939e-06,0.0011694501453340229
65,Alaska,M,83,516,2.082545408399242e-06,0.0011715326907424221
66,Alaska,M,84,496,2.0018265941202018e-06,0.0011735345173365423
67,Alaska,M,85,2316,9.347238693512877e-06,0.0011828817560300552
68,Alaska,F,18,4223,1.704377763501938e-05,0.0011999255336650745
69,Alaska,F,19,3926,1.584510324297563e-05,0.00121577063690805
70,Alaska,F,20,4391,1.7721815674963318e-05,0.0012334924525830135
71,Alaska,F,21,4693,1.8940669770576828e-05,0.0012524331223535902
72,Alaska,F,22,5043,2.0353249020460034e-05,0.0012727863713740501
73,Alaska,F,23,5594,2.25770523538476e-05,0.0012953634237278977
74,Alaska,F,24,5951,2.401788318872847e-05,0.0013193813069166261
75,Alaska,F,25,5943,2.3985595663016855e-05,0.0013433669025796429
76,Alaska,F,26,5804,2.3424599903777524e-05,0.0013667915024834203
77,Alaska,F,27,5694,2.2980646425242802e-05,0.0013897721489086632
78,Alaska,F,28,5590,2.2560908590991792e-05,0.001412333057499655
79,Alaska,F,29,5572,2.2488261658140656e-05,0.0014348213191577956
80,Alaska,F,30,5668,2.287571196668005e-05,0.0014576970311244756
81,Alaska,F,31,5331,2.151559994607822e-05,0.0014792126310705538
82,Alaska,F,32,5471,2.2080631646031502e-05,0.0015012932627165854
83,Alaska,F,33,5128,2.069630398114596e-05,0.0015219895666977313
84,Alaska,F,34,5012,2.0228134858327522e-05,0.001542217701556059
85,Alaska,F,35,4982,2.010705663690896e-05,0.001562324758192968
86,Alaska,F,36,4446,1.794379241423068e-05,0.0015802685506071986
87,Alaska,F,37,4464,1.8016439347081815e-05,0.0015982849899542804
88,Alaska,F,38,4371,1.7641096860684278e-05,0.0016159260868149647
89,Alaska,F,39,4056,1.6369775535789392e-05,0.0016322958623507541
90,Alaska,F,40,4137,1.6696686733619505e-05,0.0016489925490843736
